artist_name,artist_country
The Meatmen,United States
Memphis Minnie,United States
Call To Preserve,United States
Grand Funk,United States
3OH!3,United States
Ross,Indonesia
Bersuit Vergarabat,Argentina
BT,United States
Britney Spears,United States
Yellowcard,United States
The Disposable Heroes Of Hiphoprisy,United States
Roy Drusky,United States
Alex Ubago,Spain
D'Molls,United States
Fudge Tunnel,United Kingdom
Ximena Sarinana,Mexico
Mississippi Fred McDowell,United States
The Lord Weird Slough Feg,United States
Reach 454,United States
Die Symphony,United States
Charlie Rich,United States
Why?,United States
Uphill Battle,United States
Dilated Peoples,United States
Frank Chacksfield,United Kingdom
Danilo Perez,Panama
Mouth Of The Architect,United States
Helmet,United States
Erik Berglund,United States
Illya Kuryaki And The Valderramas,United States
Slipknot,United States
Derek Bell,United Kingdom
Jason Miles,United States
The Master Musicians of Jajouka featuring Bachir Attar,United Kingdom
Gene Pitney,United States
Neil Innes,United Kingdom
Gary Morris,United States
Wayne Kramer,United States
Catherine Howe,United Kingdom
Marvin Hamlisch,United States
Ronnie Drew,Ireland
Billie Jo Spears,United States
Disco D,United States
Beat Pharmacy,United States
Dave Baby Cortez,United States
Republica;Jonny Male;Dave Arch,United Kingdom
The Chieftains;Colin James,Ireland
The Products,United States
Truckfighters,Sweden
Rocky Hill,Germany
The Berzerker,Australia
Doug MacLeod,United States
Richard Smith,United States
Rhian Benson,Ghana
The Red Telephone,United States
Drexel,United States
Buzzcocks,United Kingdom
Ricardo Lemvo,United States
The Clash,United Kingdom
Eddy Arnold,United States
Poptart Monkeys,United States
Chaka Demus & Pliers,Jamaica
John Tchicai,Denmark
Kruger,Switzerland
Donnie Brooks,United States
Sick Puppies,United States
The Bucketheads,United States
Bob Neuwirth,United States
Alice Cooper,United States
Helen O'Connell,United States
Wendy Moten,United States
Electric Light Orchestra,United Kingdom
Pat Metheny,United States
Statues,Canada
Telecast,United States
Prince With 94 East,United States
Diesel Boy,United States
Joanna Connor,United States
First Blood,United States
James Last,Germany
Jo-El Sonnier,United States
Mongo Santamaria,Cuba
Skrape,United States
Angelo Badalamenti,United States
El Gran Combo De Puerto Rico,United States
De La Soul / MF Doom,United States
Vince Guaraldi Trio,United States
Incubus,United States
Fastball,United States
Chris Eaton,United States
Lauren Wood,United States
Kira,Germany
Rod Piazza & The Mighty Flyers,United States
The Animals_ Sonny Boy Williamson,United Kingdom
Danny Wright,United States
Jefferson Starship,United States
Terry Riley,United States
Kane,United States
I Nuovi Angeli,United States
Noah Lewis,United States
John Wesley,United States
Suicide,United States
Cadet,United States
Bumblefoot,United States
Patton Oswalt,United States
Ms. Dynamite / Bounty Killer,United Kingdom
Marty Robbins,United States
Shanadoo,Japan
The American Boychoir,United States
Al Dexter,United States
Otis Spann,United States
Sir Douglas Quintet,United States
Les Blaireaux,France
YGGDRASIL,Sweden
Year Long Disaster,United States
Jeff Johnson,United States
Dax Riggs,United States
Roy Roberts,United States
Basic Channel,Germany
Wesley Tuttle,United States
Old Man's Child,Kingdom of Norway
Legacy Five,United States
James Carter,United States
Barbara Fairchild,United States
Jaydee,United States
Francis Dunnery,United Kingdom
Ethel Merman,United States
Fran Perea,Spain
David Robertson,Australia
Cece Winans,United States
Robin Frederick,United States
Donna Fargo,United States
The Tokens,United States
Renato Borghetti,Brazil
Valient Thorr,United States
Laid Back,Denmark
Oceansize,United Kingdom
The Jordanaires,United States
Wet Wet Wet,United Kingdom
Bombay Rockers,Denmark
Wilshire,United States
Savoy Brown,United Kingdom
Lighthouse Family,United Kingdom
Connie Francis,United States
Marilyn Horne / Wiener Opernorchester / Henry Lewis,United Kingdom
Kai Winding,Denmark
Gian Marco,Peru
Cartel,United States
Papoose,United States
Chet Atkins,United States
Sophie Tucker,Russia
Abijah,Jamaica
Johannes Linstead,Canada
Jim Kweskin,United States
Gall_ France,France
Darko,United States
Backstreet Boys,United States
L7,United States
Dann Huff,United States
OutKast,United States
Sivuca,Brazil
Ministry of Sound,France
Radio Moscow,United States
Sinch,United States
deadboy & the Elephantmen,United States
Humanzi,Ireland
Horace Andy,Jamaica
Sanna Nielsen,Sweden
Michelle Wright,Canada
Jacques Dutronc,France
Kix,United States
Atari Teenage Riot,Germany
Patience Dabany,United States
Vulture Industries,Kingdom of Norway
Gloria,Bulgaria
Little Freddie King,United States
Dr. Elmo,United States
Bad Religion,United States
Kellie Coffey,United States
SUE THOMPSON,United States
D:Fuse,United States
Saigon Kick,United States
Richard Burton,United States
Wamdue Project,United States
Moonspell,Portugal
The Fray,United States
Mat Kearney,United States
Indica,Finland
Zapp,United States
Strata,United States
Off Broadway,United States
Soular,United States
Mink DeVille,United States
Gisselle,Puerto Rico
Paramore,United States
Ellen McIlwaine,United States
Dionne Warwick,United States
Bow Wow Wow,United Kingdom
Death From Above 1979,Brazil
Shelly Manne,United States
Buddy Johnson,United States
Saga,Canada
Kenny Neal,United States
Bobby Russell,United States
The Cannanes,Australia
The Red Jumpsuit Apparatus,United States
Jack Sheldon,United States
Alicia Keys,United States
Anthony Cruz,Jamaica
Renee Rosnes,Canada
Swallow The Sun,Finland
Judas Iscariot,United States
Gary Moore,United Kingdom
Lightnin' Slim,United States
The Balustrade Ensemble,United States
Tampa Red,United States
Carpenters,United States
J. B. Lenoir,United States
The Tarriers,United States
The Cat's Miaow,Australia
Slightly Stoopid,United States
Falco,Austria
Kuba,Latvia
Chris Clark,United States
Joe Heaney,United States
Elena,Czech Republic
Britt Nicole,United States
SOL,United States
Edwin Hawkins,United States
Bruce Robison,United States
Heaven 17,United Kingdom
Soundgarden,United States
SNAP!,Germany
Eastmountainsouth,United States
Luisito Rosario,United States
Chantal Chamandy,Egypt
Cornell Campbell,Jamaica
VHS Or Beta,United States
Big Mountain,United States
Jim Kweskin_ The Jug Band,United States
John D. Loudermilk,United States
Soulwax,Belgium
The Continentals,United States
Robert Lockwood_ Jr.,United States
Edgar Bori,Canada
Polkaholix,Germany
The Jeremy Spencer Band,United Kingdom
SUMO,United States
Al De Lory,United States
Sonny Terry,United States
Markus,United States
Earl Hooker,United States
Tora Tora,United States
He Is Legend,United States
Rhinoceros,United Kingdom
David Evans,United States
Midge Ure,United Kingdom
KALIMBA,Mexico
Ned Miller,United States
Roy Buchanan,United States
Russ Morgan,United States
Stimulator,United States
Bobby Pulido,United States
Ec8or,Germany
Matisyahu,United States
Justo Almario,United States
Mirah,United States
Event Horizon,Mexico
32 Leaves,United States
Danny Wilson,United Kingdom
The Frantic,United Kingdom
Grace Gale,United States
Sister Rosetta Tharpe,United States
Barry Mann,United States
Pierre Boulez,France
Chacho,United States
Suzi Quatro,United States
Little Feat,United States
Christian McBride,United States
The Beatles,United Kingdom
Jimmy Witherspoon,United States
Lexi,United States
Devanic,Austria
Joshua Rifkin,United States
Lennie Tristano,United States
Rance Allen Group,United States
Johnny Pacheco,Dominican Republic
Mikey Dread,Jamaica
Little Milton,United States
Robben Ford,United States
Anthony Blea Y Su Charanga,United States
Tijuana Hercules,United States
Rod Bernard,United States
Henry Lee Summer,United States
The Equals,United Kingdom
Gus Cannon,United States
Jean-Jacques Goldman,France
Between The Buried And Me,United States
Danny Barnes,United States
bel canto,Kingdom of Norway
Charlie McCoy,United States
Russell Malone,United States
Tyrone Wells,United States
Sade,Nigeria
Debbie Davies,United States
Henri Pousseur,Belgium
Amilcar,United States
Groucho Marx,United States
Zuzu Bollin,United States
John Berry,United States
Leon Russel,United States
R.L. Burnside,United States
Musical Youth,United Kingdom
At All Cost,United States
Dark new Day,United States
DMZ,United States
Albert King,United States
Love Jones,United States
The Bronx Horns,United States
The Pharcyde / Big Boy / Schmooche Cat / Randy Mack,United States
Mary Black,Ireland
Cass Fox,United Kingdom
Washboard Sam,United States
David Raksin,United States
Precious Bryant,United States
Benny Spellman,United States
Clarence Fountain,United States
Loretta Lynn,United States
Suzanne Ciani,United States
Hellsongs,Sweden
Julio Iglesias Jr.,Spain
Pumpkin Buzzard,United States
Dexys Midnight Runners,United Kingdom
Lizzy Borden,United States
6CycleMind,Philippines
Glen Campbell,United States
Shai Hulud,United States
Andrae Crouch,United States
Rance Allen Group,United States
Elton Britt,United States
Dimitri Tiomkin,Ukraine
Go Fish,United States
Bruno Sanfilippo,Argentina
C.C. Adcock,United States
Motograter,United States
A Perfect Murder,United States
T-Bone Walker,United States
The Roots,United States
Total Fucking Destruction,United States
Ten Years After,United Kingdom
Étienne Daho,France
The White Stripes,United States
The Germs,United States
Dee Clark,United States
Jerry Butler,United States
Montrose,United States
Rory Block,United States
James Scott Skinner,United Kingdom
Caramell,Sweden
Bruce Springsteen,United States
Frost,United Kingdom
Roger Miller,United States
J.J. Cale,United States
Black Debbath,Kingdom of Norway
Mance Lipscomb,United States
Cassie,United States
Anita Kerr,United States
Joi,United States
Outerspace,United States
Blind Blake & The Royal Victoria Hotel Calypsos,United States
Arco Iris,Switzerland
Inspiral Carpets,United Kingdom
Scott Wesley Brown,United States
ColdWorld,Germany
Jan Howard,United States
Las Niñas,Canada
Gabriel Yared,Lebanon
Danny Williams,South Africa
Cassius Clay,United States
Willie Rosario,Puerto Rico
Sean Kingston,Jamaica
Darden Smith,United States
Abbott & Chambers,Egypt
Hunters,United Kingdom
The Raconteurs,United States
Aisha Duo,United States
The Strokes,United States
Bob Wills,United States
D.A.D.,Denmark
John Legend [feat. Buju Banton],United States
Cal Tjader,United States
Easy Star All-Stars,United States
Caspa,United Kingdom
To My Surprise,United States
James Darren,United States
Dub Wiser,Canada
John Brown,United States
Bukue One,United States
The Kitchen,Canada
This Moment,United States
Roger Sanchez,United States
Dan Hicks,United States
Snowgoons,Germany
GG Allin,United States
Charlie Haden & Chris Anderson,United States
Professor Longhair,United States
Guaco,Venezuela
Dottie Rambo_ The Whites,United States
Ben Sidran,United States
Bill Laswell,United States
Mind Furniture,United States
Jimmy Johnson,United States
The Shangri-Las,United States
The Stems,Australia
George Michael,United Kingdom
Bob Cheevers,United States
Rubyhorse,Ireland
The Shirelles,United States
Irma Thomas,United States
Dwight Twilley,United States
Percy Mayfield,United States
John Michael Talbot,United States
Robin Fox,United States
Ginny Owens,United States
Buddy Jewell,United States
Bizarre Inc,United Kingdom
Felix Slatkin/Concert Arts Symphonic Band,United States
Whitesnake,United Kingdom
Smiley,United States
Don & Juan,United States
Mac Dre,Colombia
Casey Bill Weldon,United States
Santana,United States
Grachan Moncur III,United States
Leroy Van Dyke,United States
Terry Callier,United States
The Sugarhill Gang,United States
The MC5,United States
M83,France
Steve Harvey,United States
Steve Smith,United States
Natasha Bedingfield,United Kingdom
089 Clique feat. Minnesota Snipe & Skinny Cueball,Germany
Scar Symmetry,Sweden
Joell Ortiz,United States
Brian Eno And David Byrne,United States
The Fabulous Thunderbirds,United States
Steel Rain,United States
Kitty Kallen,United States
Jay & The Americans,United States
Howard Armstrong,United States
Judy Mowatt,Jamaica
James Horner,United States
Daddy Yankee / Bounty Killer,Puerto Rico
MxPx,United States
Kris Kristofferson,United States
The Flesh,United States
Clarence Gatemouth Brown,United States
Bobby Vee,United States
Messy Marv featuring Clover Geez,United States
Len Barry,United States
The Weegs,United States
Sam Baker,United States
Bob Margolin,United States
Toots Thielemans,Belgium
Hurricane,United States
Amil,United States
Pete Miser,United States
Angels,Australia
Hawkshaw Hawkins,United States
Klimperei,France
Hem,United States
Becoming The Archetype,United States
Speech,United States
Major Lance,United States
Proficy,United States
G.G. Allin,United States
Goose,United States
Alexander O'Neal,United States
B.A.D.,United Kingdom
Lightforce,Australia
Red Stick Ramblers,United States
The Ronettes,United States
Bill Perkins,United States
Rising Lion,United States
The Marx Brothers,United States
3 Way Funk,United States
Alas,United States
Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,Brazil
Alvin Youngblood Hart,United States
Jimmie Vaughan,United States
Claire Hamill,United Kingdom
Every Time I Die,United States
Freakhouse,United States
RIDDLIN' KIDS,United States
Jonathan Edwards / Will Ferrell,United States
DJ Primo,United States
Take It Back!,United States
Jessie Lee Miller,United States
Tony Joe White,United States
Joe Lopez,United States
Bobby Darin,United States
Carlton Livingston,Jamaica
Jimmy Hughes,United States
Little Willie John,United States
Orbital,United Kingdom
Irwin Goodman,Finland
Dave Valentin,United Kingdom
Andre Verchuren,France
Blue Rodeo,Canada
Richie McDonald,United States
Larissa,United States
Fountains Of Wayne,United States
Nu Flavor,United States
Syl Johnson,United States
Sneaky Sound System,Australia
Sonny Simmons,United States
Amoral,Finland
Billy Pilgrim,United States
Gonzalo Rubalcaba,Cuba
Martin Denny,United States
Jake Hess,United States
Mothers Pride,Switzerland
Public Image Ltd,United Kingdom
Eurythmics,United Kingdom
Steve Wilson,United States
Paris_ Texas,United States
Marc Lavoine,France
Diamond D,United States
Blind Willie Johnson,United States
Bobby Bland,United States
UK Subs,United Kingdom
Stan,United Kingdom
C.J. Chenier,United States
Pedro Aznar,Argentina
Très,United States
Light Of The World,United Kingdom
Kieran,United States
Lonnie Johnson,United States
Tim Wilson,United States
Sue Foley,Canada
Concretes,Sweden
Brand X,United States
Gisele MacKenzie,Canada
Killswitch Engage,United States
Symphony in Peril,United States
Alphonse Mouzon,United States
Shawn Colvin,United States
Michael Whalen,United States
Skeeter Davis,United States
Samba Mapangala and Orchestra Virunga,Kenya
John Fogerty,United States
Jesse Malin and The St. Marks Social,United States
Midwest Product,United States
Alternative TV,United Kingdom
Rui Da Silva,United Kingdom
Prozak,United Kingdom
Sunscreem,United Kingdom
Sleepy John Estes,United States
Blind Lemon Jefferson,United States
Viktor Krauss,United States
Play,Sweden
T-la Rock,United States
Shifty,United States
Guy Forsyth,United States
Jerry Reed,United States
Tommy Overstreet,United States
Gil Semedo,The Netherlands
Plasmatics,United States
Raphael,France
The Radio Dept,Sweden
Rocker-T,United States
Charles Williams,United States
Bottom Of The Hudson,United States
Serpentine,Switzerland
DJ Vix,United Kingdom
Elvira,United States
Ram Squad,United States
Hot Tuna,United States
Rhian Sheehan,New Zealand
Spitfire,Greece
Virtuoso,United States
Peter Spence,United Kingdom
Fabri Fibra,Italy
Paul Stanley,United States
Doyle Bramhall,United States
Peter Gallagher,Ireland
Bitter End,Brazil
Giuseppi Logan,United States
Onesidezero,United States
The Jackson Southernaires,United States
We Five,United States
Scott Krippayne,United States
Goatwhore,United States
Rusted Shut,United States
Everly Brothers,United States
Johnny Nash,United States
Cauterize,United States
Tiny Bradshaw,United States
Lit,United States
Kings Of Leon,United States
Groupa,Sweden
Astarte,Greece
Cristy Lane,United States
Slim Whitman,United States
Rancid,United States
Jay Tee & Baby Bash,United States
Dottie West,United States
Recluse,United States
The Rolling Stones,United Kingdom
Swim,Italy
Aeoliah,Canada
Alan Silvestri,United States
Junior M. A. F. I. A.,United States
T.O.K.,United States
Los Van Van,Cuba
Pursuit Of Happiness,Canada
Axe,United Kingdom
April Wine,Canada
Damita Jo,United States
David Cook,United States
Skyforger,Latvia
Bedrock,Namibia
Broadcast,United Kingdom
Marion Harris,United States
Julissa,United States
Jamie Richards,United States
Leland Martin,United States
Percy Faith,Canada
Daniela Dessì,Italy
Pearl Jam,United States
Bo Carter,United States
Dobby Dobson,United States
Bryan White,United States
Bobby Marchan,United States
Jeff Talmadge,Canada
Charles Aznavour,United States
The Starting Line,United States
2XL,United States
Taking Back Sunday,United States
Bury Your Dead,United States
Mudhoney,United States
Stew,United States
Buckeye Politicians,United States
Gloriana,United States
Sofia Karlsson,Sweden
Marcus Miller,United States
Pennywise,United States
Cliff Bruner,United States
Fenton Robinson,United States
The Mustangs,United States
Ronnie Milsap,United States
Maria Muldaur,United States
MIMS,United States
Brenda Lee,United States
Smidi Beats,United States
North Mississippi Allstars,United States
Scott Ainslie,United States
Eliane Elias,Brazil
Fernando Ortega,United States
Commissioned,United States
Tony Martin,United States
The Highwaymen,United States
Y&T,United States
Jacques Higelin,France
Righteous Brothers,United States
JennyAnyKind,United States
Big Dee Irwin,United States
Connie Smith,United States
Cecilia Bartoli / International Chamber Soloists / Orchestra La Scintilla / Adam Fischer,Italy
Cómplices,Brazil
Tina Britt,United States
Jimmy McGriff,United States
La 5A Estacion,Kingdom of Norway
Kool Moe Dee,United States
Cotton Candy,United States
Black Messiah,Germany
Kathy Troccoli,United States
Peloton,United States
Faye Adams,United States
The Allies,United States
The Exciters,France
David Taylor,United States
Kofi,United States
Rachel Loy,United States
Harry Choates,United States
Geoff Muldaur,Brazil
Alias,United States
Jeff Beck,United Kingdom
Big Daddy Kane,United States
Screaming Lord Sutch,United Kingdom
Roy Rogers,United States
Coffinberry,United States
Sick Of It All,United States
Karen Peck And New River,United States
Laura Leon,United States
L.A. Guns,United States
DJ Icey,United States
Albert Collins,United States
Jackie Wilson,United States
Buzzhorn,United States
Static-X,United States
